FoldChange,Normal like_MCF-10A ,HER2amp_HCC1954,HER2amp_HCC1419,HER2amp_SK-BR-3 ,Luminal A/B_ZR-751,Luminal A/B_MCF-7,Luminal A/B_T47D,Luminal A/B_HCC1428,Luminal A/B_BT474   ,HER2amp_HCC202 ,TNBC  _SUM149,TNBC_Cal51,TNBC _HCC38,TNBC _MDA-MB-157 ,TNBC _BT549  ,TNBC_HCC1599 ,TNBC_HCC1143 ,TNBC_SUM1315,TNBC_HCC1937 ,TNBC_MDA-MB-453,TNBC_MDA-MB-231,TNBC_MDA-MB-468,TNBC_MDA-MB-436,TNBC_HCC70
CE,0.407019735,0.37214464,1.476436872,1.041754375,1.106914095,1.15594078,0.47458821,0.073691184,0.955686096,0.42564402,0.297744585,1.25101561,2.718403038,6.929838969,6.605705435,3.292797322,0.564386256,0.232302895,1.676436698,0.006725778,0.464266178,0.042799898,1.858206414,0.136626029
Cer,0.150816884,0.321936896,0.270717451,0.228921218,0.742982622,0.275566234,0.373006208,0.249917801,0.117722366,0.986473225,0.902375168,0.289994671,0.270227626,0.589949727,0.877810574,0.35852372,0.48440732,0.758280478,0.372918867,0.183794681,0.885125237,0.164334689,0.266364145,0.314511218
Chol,27.62928412,26.55143752,28.9385313,25.11445635,28.8967479,38.35963672,29.98865672,32.17585198,22.43380881,16.37877918,25.05009478,38.85297292,44.92494625,24.76659981,30.19957461,36.01923065,29.46852006,28.32750618,32.37954701,29.62207415,38.48980423,34.21660065,36.61915573,39.6505919
DAG,1.448557367,1.241747837,1.106593189,0.889831028,3.318866086,0.620176363,1.569870739,0.846404393,2.181171772,3.866084133,1.901435211,1.821752208,0.987053383,2.442360958,1.363243571,4.973161069,4.525706535,1.669216789,1.291094488,1.315125403,1.455865227,1.72409669,1.044705163,0.888825169
diHexCer,0.189530059,0.067158724,1.704092973,0.894115273,0.496299726,0.028422799,0.650657185,0.146546484,1.60929672,0.186896186,2.167949093,0.639847201,1.787453611,0.551632923,0.586682491,0.168743893,0.439432913,0.215620822,0.147132228,0.015621873,1.550920076,0.201901201,0.164273492,0.235106117
LPA,0.012473297,0.022381024,0.014594537,0.037811352,0.009095178,0.00674329,0.015763814,0.016270566,0.289019723,0.009614992,0.036758504,0.023145144,0.040421185,0.01327082,0.005458404,0.070936856,0.01730612,0.028228265,0.027814495,0.030682089,0.09404442,0.058571084,0.013081341,0.022404199
LPC,0.342582442,0.43966147,1.343669385,0.584929265,3.110866054,0.719997206,1.113232307,1.685187518,0.300133815,1.671975514,0.161529186,0.366002221,0.463743142,0.669734834,0.286739386,0.421488203,0.630275777,0.546754728,0.320147877,0.775875659,0.827988904,0.889422561,0.419721262,0.347051511
LPC O-,0.005392784,0.003401857,0.011727063,0.007359036,0.014710838,0.004205961,0.013228275,0.010560587,0.010039345,0.011125107,0.007698425,0.017571081,0.017469207,0.009778785,0.006694993,0.030801785,0.008003399,0.017564539,0.012147997,0.006107981,0.004484766,0.025270615,0.013941095,0.01311263
LPE,0.264157936,0.468620061,0.274925049,0.395368648,0.859484969,0.376859957,0.358840445,0.558918569,0.045990919,1.598586459,1.356833477,0.62071892,0.528968891,0.698554269,0.428408973,0.470558533,1.82709457,0.866088051,1.000397553,0.379400586,0.718780786,0.414428921,0.257250758,0.664494963
LPE O-,0.092058455,0.071617035,0.08559921,0.047740669,0.025100755,0.001826507,0.000944781,0.039259481,0.032660719,0.021272562,0.072883427,0.064081352,0.048208282,0.083991967,0.021458594,0.147909325,0.126299065,0.024614141,0.041298265,0.093146112,0.107113004,0.099458562,0.064138648,0.042542224
LPG,0.006831636,0.036106277,0.018910319,0.019210154,0.005606171,0.006311065,0.006125095,0.014286434,0.008252353,0.006486991,0.00154248,0.004893008,0.007969231,0.015378464,0.017326293,0.027968249,0,0.00962545,0.004493561,0.006617079,0,0.007643347,0.011708595,0.000987566
LPI,0.225052876,0.174265289,0.348219733,0.365423813,0.820679158,0.43340252,0.262911567,0.220485096,0.262590157,0.302371232,0.214070952,0.127377113,0.159185041,0.491635282,0.400440103,0.841892392,0.109506825,0.416117082,0.19523828,0.291740339,0.211880076,0.2064457,0.309693869,0.236929405
LPS,0.059484964,0.073718226,0.057961382,0.029969259,0.110427541,0.054361862,0.062962221,0.06629576,0.009700355,0.15647684,0.11291555,0.076501172,0.054834155,0.097939747,0.099410125,0.150286568,0.066146745,0.06492924,0.044575276,0.141102652,0.168873367,0.15384655,0.106047389,0.055885723
PA,0.053943816,0.083604276,0.098335759,0.158592247,0.090573409,0.025048753,0.082919563,0.05838228,0.001347269,0.277013085,0.193640901,0.088123444,0.116730987,0.040961408,0.017623518,0.024862804,0.038841889,0.116679825,0.041226303,0.031849898,0.087431586,0.036688329,0.042603227,0.055974171
PC,31.07599178,40.41907628,25.97557427,37.41887081,39.89342191,40.75985854,53.31780699,46.43794708,51.08610069,44.9900132,45.67271689,36.22892409,33.3849454,44.46387998,35.19517568,31.92816747,35.12036156,46.67534307,43.56533249,51.05172608,35.9068103,43.0144324,38.43716075,41.78522679
PC O-,15.0642044,4.008423248,10.0458039,2.752750443,0.407272721,0.142984199,0.242813147,1.767095077,1.135066177,0.50709118,5.365094717,4.705297155,3.35659356,1.400906437,7.643048595,2.263353635,9.853752814,3.771636714,2.801239749,1.088850712,3.506658923,6.482216088,3.675716748,1.327199759
PE,7.599114469,15.49695107,15.69507291,15.5376516,9.35962764,8.496973364,4.471609536,3.023860251,1.435955619,9.174796878,1.940659963,1.390850318,0.932867865,3.879528499,2.9354753,4.185376472,1.389991665,0.927149147,2.324164424,3.573330237,1.331892827,1.324573273,2.896648094,3.349097769
PE O-,6.078622946,3.463653888,6.394880115,5.692926842,2.008632635,0.243631562,0.229017226,4.309217986,10.40781921,2.63023337,0.878772227,1.364971277,1.441897073,2.550461066,1.076095836,4.231594635,1.81053462,1.232230483,1.728993808,1.020389469,0.753741074,0.503481626,1.399066392,1.48063936
PG,0.279573812,0.250529564,0.500102439,0.217896379,0.484488887,0.517076755,0.153219749,0.10195464,0.031799537,0.191949602,0.065456045,0.14971772,0.179503488,0.332524994,0.152030958,0.730274066,0.110202619,0.212678893,0.15744814,0.047850738,0.02869784,0.017973493,0.223836033,0.149348933
PI,2.119592114,1.763769998,1.634966731,2.091172206,2.262974724,3.804206892,2.156605189,1.944317011,2.042244368,7.892177713,2.988472305,1.878798887,1.943212386,5.041645723,2.028861823,1.868220714,3.750594071,3.183634591,3.557248453,3.084346854,4.368519125,3.476143906,1.773947238,2.507255415
PS,1.309979437,0.962974712,0.852181352,0.743612502,0.642000453,0.800040956,0.802999569,1.075630923,0.101628709,1.205249925,1.12119321,1.047754887,1.168502974,0.827703832,0.693363644,0.891397216,0.966316918,1.009210705,0.99749129,0.908442823,1.154016778,0.797188152,1.395540289,0.90215122
SM,5.016120674,2.937694518,2.482143651,4.981218728,3.772649866,2.512952029,2.476562587,4.037040361,5.319519413,4.444593117,6.828498285,7.484683448,4.183851831,2.625541017,8.015186635,5.902042913,5.307239087,7.887079467,5.305133015,5.672707677,6.222515684,5.32326407,8.437016994,4.552805336
